,isco_level_1,isco_label_1,share_green_gtp_mean,n_occ_esco_sum,share_green_esco_mean,share_brown_esco_mean,share_neutral_esco_mean,isco_code,isco_level_2,isco_label_2,isco_level_3,isco_label_3,isco_level_4,isco_label_4
190,,,0.2,10.0,0.02277464110797444,0.0036363636363636364,0.9735889952556619,1223,,,,,1223,Research and development managers
191,,,0.0,1.0,0.3902439024390244,0.0,0.6097560975609756,1311,,,,,1311,Agricultural and forestry production managers
192,,,0.0,3.0,0.08195506982392228,0.0,0.9180449301760777,1312,,,,,1312,Aquaculture and fisheries production managers
193,,,0.0,21.0,0.08946763626935335,0.01492368339092863,0.895608680339718,1321,,,,,1321,Manufacturing managers
194,,,0.0,4.0,0.06786546079839798,0.127170308940258,0.804964230261344,1322,,,,,1322,Mining managers
195,,,0.30434782608695654,3.0,0.11765998423100288,0.016260162601626018,0.8660798531673711,1323,,,,,1323,Construction managers
196,,,0.2232142857142857,90.0,0.016156565618492828,0.006188170589244203,0.977655263792263,1324,,,,,1324,"Supply, distribution and related managers"
197,,,0.0,11.0,0.0,0.0,1.0,1330,,,,,1330,Information and communications technology service managers
198,,,0.0,3.0,0.003787878787878788,0.0,0.9962121212121212,1341,,,,,1341,Child care services managers
199,,,0.0,2.0,0.0,0.0,1.0,1342,,,,,1342,Health services managers
200,,,0.0,1.0,0.0,0.0,1.0,1343,,,,,1343,Aged care services managers
201,,,0.0,4.0,0.01176948051948052,0.0,0.9882305194805195,1344,,,,,1344,Social welfare managers
202,,,0.0,11.0,0.0021141649048625794,0.0,0.9978858350951374,1345,,,,,1345,Education managers
203,,,0.0,6.0,0.01667934490142851,0.0,0.9833206550985715,1346,,,,,1346,Financial and insurance services branch managers
204,,,0.5588235294117647,24.0,0.053693739549000745,0.00019470404984423675,0.9461115564011551,1349,,,,,1349,Professional services managers not elsewhere classified
205,,,0.0,3.0,0.08366013071895424,0.0,0.9163398692810457,1411,,,,,1411,Hotel managers
206,,,0.0,1.0,0.13725490196078433,0.0,0.8627450980392157,1412,,,,,1412,Restaurant managers
207,,,0.11764705882352941,49.0,0.0336007491770408,0.0005668934240362812,0.9658323573989228,1420,,,,,1420,Retail and wholesale trade managers
208,,,0.0,11.0,0.016973278951816304,0.0,0.9830267210481837,1431,,,,,1431,"Sports, recreation and cultural centre managers"
209,,,0.0,8.0,0.06104700854700854,0.002777777777777778,0.9361752136752137,1439,,,,,1439,Services managers not elsewhere classified
210,,,0.0,3.0,0.008438818565400843,0.004219409282700422,0.9873417721518987,2111,,,,,2111,Physicists and astronomers
211,,,0.5,5.0,0.052943193187940364,0.0,0.9470568068120595,2112,,,,,2112,Meteorologists
212,,,0.0,8.0,0.01914403870162297,0.03965270578500077,0.9412032555133762,2113,,,,,2113,Chemists
213,,,0.48387096774193555,13.0,0.18430671085968753,0.0764498742488092,0.7392434148915032,2114,,,,,2114,Geologists and geophysicists
214,,,0.0,7.0,0.004464285714285714,0.0,0.9955357142857143,2120,,,,,2120,"Mathematicians, actuaries and statisticians"
215,,,0.0,21.0,0.11257858906508471,0.0015178345560333923,0.8859035763788818,2131,,,,,2131,"Biologists, botanists, zoologists and related professionals"
216,,,0.0,6.0,0.2915375188378832,0.0,0.7084624811621169,2132,,,,,2132,"Farming, forestry and fisheries advisers"
217,,,1.0,13.0,0.48753212294179704,0.007782766014473331,0.5046851110437297,2133,,,,,2133,Environmental protection professionals
218,,,0.24389991728701407,16.0,0.061328753083354774,0.014335318220565975,0.9243359286960793,2141,,,,,2141,Industrial and production engineers
219,,,0.4705882352941176,12.0,0.1997080352548258,0.024666599386534135,0.77562536535864,2142,,,,,2142,Civil engineers
220,,,1.0,6.0,0.4531640766125158,0.012345679012345678,0.5344902443751386,2143,,,,,2143,Environmental engineers
221,,,0.2857142857142857,26.0,0.07016190599771951,0.018236760840851893,0.9116013331614286,2144,,,,,2144,Mechanical engineers
222,,,0.0,12.0,0.07724467563509635,0.05229078789308474,0.870464536471819,2145,,,,,2145,Chemical engineers
223,,,0.0,13.0,0.06397235668490729,0.20162458596163052,0.7344030573534622,2146,,,,,2146,"Mining engineers, metallurgists and related professionals"
224,,,0.42224378185916644,40.0,0.11020176588506544,0.007586387654017218,0.8822118464609174,2149,,,,,2149,Engineering professionals not elsewhere classified
225,,,0.18181818181818182,8.0,0.09099731119597919,0.012007839662787108,0.8969948491412337,2151,,,,,2151,Electrical engineers
226,,,0.22727272727272727,17.0,0.036330953204784404,0.0017301038062283738,0.9619389429889873,2152,,,,,2152,Electronics engineers
227,,,0.22727272727272727,2.0,0.0,0.0,1.0,2153,,,,,2153,Telecommunications engineers
