EF541,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
3257,647,72135.883,0.047245862,0.045595054,0,0,0.952754138,0.954404946,0.026122284,0.024729521,0,0,0.973877716,0.975270479,0.110616598,0.108191654,0,0,0.889383402,0.891808346
3258,673,74017.765,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3259,83,9165.389,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3311,427,46380.918,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3312,642,67999.093,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3313,3717,403178.043,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3314,11,1307.452,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3315,11,1258.544,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3321,665,71495.713,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3322,2189,237700.379,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3323,1015,111169.08,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3324,66,6961.74,0.195097741,0.193181818,0,0,0.804902259,0.806818182,0,0,0,0,1,1,0.780390965,0.772727273,0,0,0.219609035,0.227272727
3331,379,41412.637,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3332,284,31860.315,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3333,366,40672.539,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
